Tip,Author,Last Sent,Category
Cheat sheet for geospatial data analysis in #rstats (by @geospacedman): http://bit.ly/RYUtGK,David Smith,2012-11-16T00:00:00Z,NA
"On a Mac, read from the clipboard with scan(pipe(""pbpaste""), what=character(0), sep=""\n"") #rstats",David Smith,2012-11-27T00:00:00Z,NA
List of R functions and packages for Optimization and Mathematical Programming: http://bit.ly/qnRaaf #rstats,David Smith,2012-12-10T00:00:00Z,Task View
Free course on Computing for Data Analysis with #rstats from @coursera starts today: http://bit.ly/THqRxl,David Smith,2013-01-02T00:00:00Z,NA
Sync Rprofile across multiple machines with Dropbox: http://bit.ly/ugAi3M #rstats,@genetics_blog,2013-01-03T00:00:00Z,NA
Learn R through baseball with sab-R-metrics: http://bit.ly/133L4T3 #rstats,David Smith,2013-01-04T00:00:00Z,NA
List of R functions and packages related to Statistics for the Social Sciences: http://bit.ly/r4KKw2 #rstats,David Smith,2013-01-11T00:00:00Z,Task View
"R scripts for managing and processing data, with equivalent code in #SAS and #SPSS: http://bit.ly/11BYwhL #rstats",David Smith,2013-01-17T00:00:00Z,NA
List of R functions and packages for finance and risk management: http://bit.ly/mVysYe #rstats,David Smith,2013-03-08T00:00:00Z,Task View
"List of R packages for survival analysis, censored data, and failure time modeling: http://bit.ly/A6eN6I #rstats",David Smith,2013-03-12T00:00:00Z,package
"Access Bloomberg data from R with the Rbbg package. Get it with install.packages(""Rbbg"", repos = ""http://r.findata.org"") #rstats",David Smith,2013-04-01T00:00:00Z,deprecated
List of R packages for analysis of ecological and environmental data: http://bit.ly/x0y4JC #rstats,David Smith,2013-04-10T00:00:00Z,package
Free e-book on multilevel modeling with #rstats using nlme and multilevel packages: http://bit.ly/H9pAae,David Smith,2013-04-15T00:00:00Z,NA
List of R functions and packages for visualization and analysis of multivariate data: http://bit.ly/x4HV5i #rstats,David Smith,2013-04-26T00:00:00Z,package
List of R packages for statistical genetics and genetic analysis: http://bit.ly/x8ecZY #rstats,David Smith,2013-05-14T00:00:00Z,package
List of R functions for chemometrics and computational physics: http://bit.ly/AvftRi #rstats,David Smith,2013-05-16T00:00:00Z,package
Differences between R and S+: http://bit.ly/GzYTQZ #rstats,David Smith,2013-05-23T00:00:00Z,tip
R resources for Econometrics and Psychometrics: http://bit.ly/14oJGdc #rstats,David Smith,2013-05-27T00:00:00Z,NA
quantmod: An R package where quant traders can quickly and cleanly explore and build trading models: http://bit.ly/zpAoep #rstats #finance,David Smith,2013-05-28T00:00:00Z,package
List of R functions and packages for Machine Learning & Statistical Learning: http://bit.ly/nFTz0V #rstats,David Smith,2013-06-14T00:00:00Z,Task View
Random input testing with R: http://bit.ly/LpJ0Of (PDF) #rstats,David Smith,2013-06-24T00:00:00Z,NA
#rstats For an example of some slick plotting code click on the graphic at www.r-project.org,Joseph Rickert,2013-07-01T00:00:00Z,NA
How to create animated graphics in R: http://bit.ly/NcjzyZ (see p23) #rstats,David Smith,2013-07-10T00:00:00Z,check
"List of R functions and packages for clinical trial design, monitoring and analysis: http://bit.ly/pe0KO2 #rstats",David Smith,2013-07-26T00:00:00Z,Task View
"An R user's case for Emacs: ""Emacs has no learning curve"" (http://bit.ly/16kc9Ry)",David Smith,2013-07-29T00:00:00Z,NA
"Search the ‪#rstats‬ NEWS file from the command line: db <- news(); news(grepl(""<topic>"", Text), db=db)",@joshua_ulrich,2013-08-01T00:00:00Z,NA
"Handy for interactive use, you can set up packages to automatically load when a function is used: http://bit.ly/M6mPOW #rstats",David Smith,2013-08-16T00:00:00Z,NA
"Automated variable selection for regressions: ""step"" http://bit.ly/orRZFu and ""leaps"" http://bit.ly/oMhDcj #rstats",Joseph Rickert,2013-09-06T00:00:00Z,NA
"#rstats Get variable name y into plot title without quotes: plot(x,y,main=paste(""x vs "", deparse(substitute(y)))) http://bit.ly/18WaGnv",JBR,2013-10-14T00:00:00Z,NA
A collection of 20+ free R cheat sheets: http://bit.ly/tagjby #rstats,David Smith,2013-11-05T00:00:00Z,NA
#rstats A collection R crib sheets and popular commands http://overapi.com/r/,JBR,2013-11-11T00:00:00Z,NA
Some basic examples of sorting data frames with the order() function http://bit.ly/WAnc9y #rstats,JBR,2013-12-03T00:00:00Z,NA
"Compact code to vector of month names: format(ISOdate(2004,1:12,1),""%B"")  #rstats http://bit.ly/1dVyKwe",JBR,2013-12-09T00:00:00Z,NA
See the R Wiki for tips with code snippets. #rstats http://bit.ly/JAErBw,Joseph Rickert,2014-01-02T00:00:00Z,NA
ggplot2 viz of iris comparing a single variable across multiple categories Bradley Demarest  #rstats Dhttp://bit.ly/1bENYOM,Joseph Rickert,2014-01-07T00:00:00Z,NA
"Many #rstats packages have ""vignette"" examples: use vignette() to see which installed packages have them: http://bit.ly/pOBXUl",Joseph Rickert,2014-01-29T00:00:00Z,NA
"For tables in R like those from SAS's PROC FREQ, use CrossTable from the gmodels package: http://bit.ly/pbhQWd #rstats",David Smith,2014-01-30T00:00:00Z,NA
is.na() finds NAs and NaNs. Use is.nan() to find only NaNs #rstats http://bit.ly/1gyFrFY,JBR,2014-02-05T00:00:00Z,NA
Type ?file to get help with R functions to manipulate connections #rstats http://bit.ly/1cc6oYr,JBR,2014-02-10T00:00:00Z,NA
"Use strftime(date, format=""%m-%d"") to shorten a POSIXct date and convert to character string #rstats http://bit.ly/1bxtskA",JBR,2014-02-11T00:00:00Z,NA
Use the ... syntax to pass arguments to a subfunction. Use this to simplify complex #rstats: http://bit.ly/14EaAxX (via @burnsstat),David Smith,2014-02-12T00:00:00Z,NA
Get started with testing your R code (tips from Hadley Wickham) http://bit.ly/M1a1tx and http://bit.ly/NMfAxS #rstats,JBR,2014-02-17T00:00:00Z,NA
"Use scale(x) to calculate the Z-scores of the entries in a numeric vector x,  http://bit.ly/1mOItVP #rstats",JBR,2014-03-05T00:00:00Z,NA
