status_id,created_at,text,favorite_count,retweet_count,score
1083770513837613056,2019-01-11T17:00:00Z,"Leave out the mth column of a data frame: 
dF[,-m] 
https://t.co/nDWQWzPfeD #rstats",24,6,36
1083408126936793094,2019-01-10T17:00:00Z,Use clusterboot() in the fpc package to help assess the stability of cluster classifications #rstats https://t.co/zocRloA965,27,7,41
1083045740727939073,2019-01-09T17:00:01Z,An architecture for deploying real-time predictive models trained with R: https://t.co/lSZ4hb7if2  #rstats,28,8,44
1082683349385297921,2019-01-08T17:00:00Z,This vignette for the showtext package explains how to display non-standard fonts in R graphics https://t.co/nTd47fVFqY #rstats,28,8,44
1082320961637154816,2019-01-07T17:00:00Z,"Use setdiff(x,y) to find the values that appear in x but not in y https://t.co/5lQKfkZlkC #rstats",122,27,176
1081233800519127040,2019-01-04T17:00:01Z,"Introduction to Empirical Bayes: Examples from Baseball Statistics, a name-your-own-price book by @drob #rstats https://t.co/R6RtKci8nB",54,24,102
1080871409499422720,2019-01-03T17:00:00Z,A suite of R packages for quantitative risk management in finance: https://t.co/nYvB5xXK0i #rstats,48,15,78
1080475135411437569,2019-01-02T14:45:21Z,"Generate a sequence of dates: 

seq(https://t.co/3xmZS4XMQg(""2000/1/1""),
    https://t.co/3xmZS4XMQg(""2019/1/1""), ""years"") 

https://t.co/hWzcw2tFHq #rstats",122,34,190
1080146633671593986,2019-01-01T17:00:00Z,New YeaR's resolution: Join a local R user group: https://t.co/3LrfnJhEi9 #rstats,56,14,84
1078697084428009472,2018-12-28T17:00:00Z,Try demo('graphics') ... and type demo() to see other demos available in attached packages https://t.co/UtrP8sqKe4 #rstats,22,4,30
1078334697359302656,2018-12-27T17:00:00Z,"write.matrix(M) in the built-in ""MASS"" package will print out a matrix, M, without the row and column index labels https://t.co/hljYdPNL6D #rstats",40,13,66
1077972306700443653,2018-12-26T17:00:00Z,"getOption(""defaultPackages"") lists the packages (in addition to base) loaded at startup #rstats",45,6,57
1077609921473056769,2018-12-25T17:00:00Z,"Seasons Greetings!

library(animation)
demo(""Xmas"") 

https://t.co/YqHkfyIRAx #rstats",58,21,100
1077247541144543233,2018-12-24T17:00:02Z,Plot sample with error bars and color coded legend https://t.co/zV9k3g9Np5 #rstats,45,9,63
1076160371696775169,2018-12-21T17:00:01Z,"The official ""Introduction to R"" manual, updated with every R release https://t.co/EsZsJhiFXk #rstats",95,39,173
1075797988323188736,2018-12-20T17:00:02Z,"rle(x) (""run-length encoding"") computes the lengths of runs of equal values in a vector https://t.co/usvgdAWkqy #rstats",10,2,14
